***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,33.44,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,42.88,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2428,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 12:53:9,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.7971703,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,28585
905.531115772228,31797
909.427452498074,34141
913.319483609787,36991
917.207209107368,39987
921.090628990817,44844
924.969743260134,50346
930.13519799724,58422
934.004265833582,64847
937.869028055792,70577
941.72948466387,75244
945.585635657816,79260
949.43748103763,83200
953.285020803312,86244
957.128254954862,89478
960.967183492279,92463
966.07905725352,96680
969.907939357962,99206
973.732515848273,102579
977.552786724452,105114
981.368751986498,107883
985.180411634413,110134
988.987765668195,112387
992.790814087846,113687
996.589556893364,115145
1001.64784967874,116708
1005.43654605128,117305
1009.22093680969,118240
1013.00102195397,118782
1016.77680148412,119210
1020.54827540013,119085
1024.31544370202,118984
1028.07830638977,118725
1031.83686346339,118782
1036.8415752729,117488
1040.59008591354,117175
1044.33429094005,116594
1048.07419035243,115967
1051.80978415068,115686
1055.5410723348,114876
1059.26805490478,114293
1062.99073186063,113633
1066.70910320235,113744
1071.66023403599,113062
1075.36855894474,113534
1079.07257823935,113540
1082.77229191983,114004
1086.46769998618,114832
1090.1588024384,114335
1093.84559927648,115349
1097.52809050043,115915
1101.20627611025,116549
1106.10382596803,117760
1109.77196514487,118710
1113.43579870759,119515
1117.09532665617,120573
1120.75054899062,121468
1124.40146571093,121858
1128.04807681712,122976
1131.69038230917,123807
1135.32838218709,124724
1140.172351069,126478
1143.80030451395,127972
1147.42395234476,128904
1151.04329456145,130346
1154.658331164,131237
1158.26906215241,132962
1161.8754875267,133975
1165.47760728685,135101
1169.07542143287,136241
1173.86580933892,138847
1177.45357705197,139551
1181.03703915088,141338
1184.61619563566,143125
1188.19104650631,145310
1191.76159176283,147328
1195.32783140522,149100
1198.88976543347,151494
1202.44739384759,153216
1207.18420077777,155894
1210.73178275892,158242
1214.27505912594,160057
1217.81402987882,162311
1221.34869501757,164096
1224.87905454219,166420
1228.40510845267,168298
1231.92685674903,170172
1235.44429943125,171959
1240.12752538557,174790
1243.63492163481,176299
1247.13801226993,177656
1250.63679729091,178906
1254.13127669776,180504
1257.62145049048,182768
1261.10731866907,185245
1264.58888123353,187667
1268.06613818385,190376
1272.6957831623,193470
1276.16299367965,195476
1279.62589858286,197964
1283.08449787195,199229
1286.5387915469,200461
1289.98877960772,201910
1293.43446205441,203176
1296.87583888696,204240
1300.31291010539,205177
1304.88897410797,206309
1308.31599889342,206824
1311.73871806474,207262
1315.15713162192,207801
1318.57123956497,207813
1321.98104189389,207866
1325.38653860868,208462
1328.78772970934,207999
1332.18461519586,207860
1336.70709822258,207860
1340.09393727613,207208
1343.47647071555,206628
1346.85469854083,205653
1350.22862075199,204964
1353.59823734901,203277
1356.9635483319,202087
1360.32455370065,201074
1363.68125345528,199785
1368.15015550613,198326
1371.49680882778,197928
1374.8391565353,196403
1378.17719862868,194417
1381.51093510794,192173
1384.84036597306,190252
1388.16549122405,188418
1391.48631086091,186305
1394.80282488363,184696
1399.21814595862,183379
1402.52461354837,182421
1405.82677552399,181602
1409.12463188548,181243
1412.41818263283,180498
1415.70742776605,180364
1418.99236728514,180540
1422.2730011901,180285
1425.54932948093,180340
1429.91106958005,180564
1433.1773514379,180483
1436.43932768162,180740
1439.6969983112,180880
1442.95036332666,181136
1446.19942272798,181188
1449.44417651517,181037
1452.68462468823,180738
1456.99852463033,180731
1460.22892637041,180513
1463.45502249637,179727
1466.67681300819,179102
1469.89429790587,178584
1473.10747718943,178027
1476.31635085885,177041
1479.52091891415,176442
1482.72118135531,175286
1486.98150032154,174068
1490.17171632972,173352
1493.35762672377,172031
1496.53923150369,171365
1499.71653066948,170421
1502.88952422114,169131
1506.05821215866,168503
1509.22259448206,167049
1512.38267119132,165781
1516.58940918168,163975
1519.73943945797,162716
1522.88516412012,161439
1526.02658316814,160166
1529.16369660203,158333
1532.29650442179,157114
1535.42500662741,155619
1538.54920321891,154358
1541.66909419627,152396
1545.82225121076,149914
1548.93209575515,148139
1552.0376346854,146273
1555.13886800153,144640
1558.23579570352,142907
1561.32841779137,140928
1564.4167342651,138988
1567.50074512469,137224
1570.58045037016,135103
1574.68002640879,132121
1577.74968522127,129689
1580.81503841963,127197
1583.87608600385,125128
1586.93282797394,122378
1589.9852643299,119989
1593.03339507173,117577
1596.07722019942,115392
1599.11673971298,112839
1603.16273477575,109530
1606.19220785634,107465
1609.21737532279,105016
1612.23823717512,102430
1615.25479341331,100066
1618.26704403737,97703
1621.27498904729,95056
1624.27862844309,92578
1627.27796222475,90524
1631.27037631165,87079
1634.25966366034,83978
1637.2446453949,81132
1640.22532151532,77655
1643.20169202161,74262
1646.17375691377,70839
1649.1415161918,67445
1652.10496985569,63808
1655.06411790546,60664
1659.00295101649,56778
1661.95205263328,54210
1664.89684863594,51901
1667.83733902446,49351
1670.77352379886,46725
1673.70540295912,42888
1676.63297650524,38541
1679.55624443724,33807
1682.4752067551,29317
1686.36045889027,23896
1689.26937477516,19700
1692.17398504592,17604
1695.07428970255,14702
1697.97028874504,12526
1700.8619821734,10713
