***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,54.04,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,13.86,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2726,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 14:36:40,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.8650689,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,00:00:00:00:00:00:00:00,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,34051
905.531115772228,36874
909.427452498074,39071
913.319483609787,42049
917.207209107368,45798
921.090628990817,49475
924.969743260134,54545
930.13519799724,63036
934.004265833582,69401
937.869028055792,76561
941.72948466387,82330
945.585635657816,88155
949.43748103763,92698
953.285020803312,96854
957.128254954862,100968
960.967183492279,104727
966.07905725352,109227
969.907939357962,112648
973.732515848273,115812
977.552786724452,118232
981.368751986498,121640
985.180411634413,124105
988.987765668195,125898
992.790814087846,128063
996.589556893364,129354
1001.64784967874,131244
1005.43654605128,132573
1009.22093680969,133148
1013.00102195397,133637
1016.77680148412,134006
1020.54827540013,134218
1024.31544370202,133798
1028.07830638977,133464
1031.83686346339,133443
1036.8415752729,133052
1040.59008591354,132479
1044.33429094005,131900
1048.07419035243,131758
1051.80978415068,131236
1055.5410723348,130719
1059.26805490478,130386
1062.99073186063,129935
1066.70910320235,129698
1071.66023403599,130366
1075.36855894474,130320
1079.07257823935,130923
1082.77229191983,131459
1086.46769998618,131665
1090.1588024384,132348
1093.84559927648,133432
1097.52809050043,134486
1101.20627611025,135306
1106.10382596803,137208
1109.77196514487,138425
1113.43579870759,139808
1117.09532665617,141099
1120.75054899062,142254
1124.40146571093,143332
1128.04807681712,144728
1131.69038230917,146130
1135.32838218709,147516
1140.172351069,149790
1143.80030451395,150968
1147.42395234476,152592
1151.04329456145,154185
1154.658331164,155698
1158.26906215241,156935
1161.8754875267,158148
1165.47760728685,160242
1169.07542143287,161749
1173.86580933892,164066
1177.45357705197,165574
1181.03703915088,167296
1184.61619563566,169548
1188.19104650631,171391
1191.76159176283,173896
1195.32783140522,176027
1198.88976543347,178406
1202.44739384759,181176
1207.18420077777,184029
1210.73178275892,186218
1214.27505912594,189098
1217.81402987882,191338
1221.34869501757,193727
1224.87905454219,196306
1228.40510845267,198221
1231.92685674903,200804
1235.44429943125,203093
1240.12752538557,205596
1243.63492163481,206954
1247.13801226993,208644
1250.63679729091,210137
1254.13127669776,212125
1257.62145049048,215142
1261.10731866907,218320
1264.58888123353,221450
1268.06613818385,224513
1272.6957831623,227735
1276.16299367965,229991
1279.62589858286,232000
1283.08449787195,234307
1286.5387915469,235839
1289.98877960772,237265
1293.43446205441,238331
1296.87583888696,240010
1300.31291010539,240802
1304.88897410797,242069
1308.31599889342,242707
1311.73871806474,243289
1315.15713162192,243514
1318.57123956497,244297
1321.98104189389,244372
1325.38653860868,243824
1328.78772970934,244323
1332.18461519586,243836
1336.70709822258,243907
1340.09393727613,243461
1343.47647071555,242313
1346.85469854083,241354
1350.22862075199,240748
1353.59823734901,238886
1356.9635483319,237838
1360.32455370065,236039
1363.68125345528,234646
1368.15015550613,233216
1371.49680882778,232282
1374.8391565353,230194
1378.17719862868,227945
1381.51093510794,225261
1384.84036597306,222542
1388.16549122405,220712
1391.48631086091,218413
1394.80282488363,216781
1399.21814595862,215152
1402.52461354837,213915
1405.82677552399,212898
1409.12463188548,212116
1412.41818263283,211971
1415.70742776605,211154
1418.99236728514,211149
1422.2730011901,211179
1425.54932948093,211250
1429.91106958005,211928
1433.1773514379,212153
1436.43932768162,211618
1439.6969983112,212566
1442.95036332666,212243
1446.19942272798,213140
1449.44417651517,212693
1452.68462468823,212507
1456.99852463033,212155
1460.22892637041,212036
1463.45502249637,210805
1466.67681300819,210450
1469.89429790587,209449
1473.10747718943,208878
1476.31635085885,207911
1479.52091891415,207264
1482.72118135531,206438
1486.98150032154,204876
1490.17171632972,203482
1493.35762672377,202264
1496.53923150369,200954
1499.71653066948,199776
1502.88952422114,198570
1506.05821215866,197434
1509.22259448206,196268
1512.38267119132,194626
1516.58940918168,192372
1519.73943945797,190894
1522.88516412012,189227
1526.02658316814,187329
1529.16369660203,185921
1532.29650442179,184062
1535.42500662741,182476
1538.54920321891,180627
1541.66909419627,178734
1545.82225121076,176039
1548.93209575515,173651
1552.0376346854,172198
1555.13886800153,169555
1558.23579570352,167120
1561.32841779137,165174
1564.4167342651,162560
1567.50074512469,160451
1570.58045037016,157775
1574.68002640879,154156
1577.74968522127,151300
1580.81503841963,148389
1583.87608600385,146076
1586.93282797394,142899
1589.9852643299,139904
1593.03339507173,136876
1596.07722019942,134308
1599.11673971298,131345
1603.16273477575,127769
1606.19220785634,125004
1609.21737532279,121972
1612.23823717512,119097
1615.25479341331,116362
1618.26704403737,113896
1621.27498904729,111077
1624.27862844309,107616
1627.27796222475,105198
1631.27037631165,101226
1634.25966366034,98158
1637.2446453949,94866
1640.22532151532,91795
1643.20169202161,88501
1646.17375691377,85641
1649.1415161918,82089
1652.10496985569,79023
1655.06411790546,75735
1659.00295101649,71789
1661.95205263328,69773
1664.89684863594,68050
1667.83733902446,65683
1670.77352379886,63646
1673.70540295912,61356
1676.63297650524,58431
1679.55624443724,55500
1682.4752067551,52126
1686.36045889027,47723
1689.26937477516,44069
1692.17398504592,39798
1695.07428970255,35207
1697.97028874504,30994
1700.8619821734,27018
