***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.25,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.43,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2670,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:13,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.846095,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.630473432251,25018
905.531115772228,27244
909.427452498074,29478
913.319483609787,32228
917.207209107368,35199
921.090628990817,38863
924.969743260134,43774
930.13519799724,51069
934.004265833582,57376
937.869028055792,63592
941.72948466387,69717
945.585635657816,74558
949.43748103763,78889
953.285020803312,83380
957.128254954862,87191
960.967183492279,91712
966.07905725352,96393
969.907939357962,100005
973.732515848273,103642
977.552786724452,106729
981.368751986498,109663
985.180411634413,112654
988.987765668195,115279
992.790814087846,117221
996.589556893364,118536
1001.64784967874,121071
1005.43654605128,122291
1009.22093680969,123158
1013.00102195397,123528
1016.77680148412,124410
1020.54827540013,124364
1024.31544370202,124500
1028.07830638977,124314
1031.83686346339,124188
1036.8415752729,123821
1040.59008591354,123134
1044.33429094005,122516
1048.07419035243,121832
1051.80978415068,121472
1055.5410723348,120676
1059.26805490478,120505
1062.99073186063,119982
1066.70910320235,119710
1071.66023403599,119203
1075.36855894474,119127
1079.07257823935,119372
1082.77229191983,119503
1086.46769998618,120313
1090.1588024384,120257
1093.84559927648,120699
1097.52809050043,121082
1101.20627611025,121439
1106.10382596803,122669
1109.77196514487,123183
1113.43579870759,123913
1117.09532665617,124852
1120.75054899062,125346
1124.40146571093,125765
1128.04807681712,126673
1131.69038230917,127563
1135.32838218709,129032
1140.172351069,130751
1143.80030451395,131446
1147.42395234476,132824
1151.04329456145,134241
1154.658331164,135333
1158.26906215241,136644
1161.8754875267,138105
1165.47760728685,139122
1169.07542143287,141283
1173.86580933892,143287
1177.45357705197,145485
1181.03703915088,147278
1184.61619563566,149537
1188.19104650631,151754
1191.76159176283,154258
1195.32783140522,156751
1198.88976543347,159459
1202.44739384759,161935
1207.18420077777,165113
1210.73178275892,168246
1214.27505912594,170865
1217.81402987882,173587
1221.34869501757,176334
1224.87905454219,179132
1228.40510845267,181625
1231.92685674903,184832
1235.44429943125,187089
1240.12752538557,190569
1243.63492163481,192780
1247.13801226993,194934
1250.63679729091,196360
1254.13127669776,198832
1257.62145049048,200984
1261.10731866907,204722
1264.58888123353,208233
1268.06613818385,211321
1272.6957831623,214775
1276.16299367965,217565
1279.62589858286,219554
1283.08449787195,221972
1286.5387915469,223871
1289.98877960772,224992
1293.43446205441,227097
1296.87583888696,228330
1300.31291010539,229171
1304.88897410797,230770
1308.31599889342,231514
1311.73871806474,232002
1315.15713162192,232982
1318.57123956497,233435
1321.98104189389,233597
1325.38653860868,233433
1328.78772970934,233547
1332.18461519586,233161
1336.70709822258,232748
1340.09393727613,232768
1343.47647071555,232151
1346.85469854083,231308
1350.22862075199,230591
1353.59823734901,229485
1356.9635483319,227598
1360.32455370065,226591
1363.68125345528,225560
1368.15015550613,224726
1371.49680882778,223559
1374.8391565353,221983
1378.17719862868,219816
1381.51093510794,217328
1384.84036597306,215377
1388.16549122405,213199
1391.48631086091,211729
1394.80282488363,210118
1399.21814595862,208703
1402.52461354837,208105
1405.82677552399,207335
1409.12463188548,207090
1412.41818263283,206774
1415.70742776605,206816
1418.99236728514,206874
1422.2730011901,206862
1425.54932948093,207242
1429.91106958005,207672
1433.1773514379,207576
1436.43932768162,207559
1439.6969983112,208024
1442.95036332666,207930
1446.19942272798,208147
1449.44417651517,208003
1452.68462468823,207988
1456.99852463033,208154
1460.22892637041,207839
1463.45502249637,207344
1466.67681300819,206715
1469.89429790587,206398
1473.10747718943,205157
1476.31635085885,204627
1479.52091891415,203995
1482.72118135531,203539
1486.98150032154,202134
1490.17171632972,201018
1493.35762672377,200029
1496.53923150369,198862
1499.71653066948,197878
1502.88952422114,196999
1506.05821215866,195771
1509.22259448206,194631
1512.38267119132,193076
1516.58940918168,190692
1519.73943945797,189300
1522.88516412012,187928
1526.02658316814,186386
1529.16369660203,185090
1532.29650442179,183319
1535.42500662741,181522
1538.54920321891,179970
1541.66909419627,178205
1545.82225121076,175778
1548.93209575515,173759
1552.0376346854,171953
1555.13886800153,169734
1558.23579570352,167725
1561.32841779137,165717
1564.4167342651,163397
1567.50074512469,161046
1570.58045037016,158548
1574.68002640879,155546
1577.74968522127,152862
1580.81503841963,150059
1583.87608600385,147433
1586.93282797394,145257
1589.9852643299,142833
1593.03339507173,139286
1596.07722019942,137167
1599.11673971298,134748
1603.16273477575,131326
1606.19220785634,128291
1609.21737532279,125982
1612.23823717512,123324
1615.25479341331,120664
1618.26704403737,117699
1621.27498904729,115146
1624.27862844309,112570
1627.27796222475,109967
1631.27037631165,106022
1634.25966366034,103042
1637.2446453949,99700
1640.22532151532,96143
1643.20169202161,92610
1646.17375691377,89042
1649.1415161918,85363
1652.10496985569,81379
1655.06411790546,78218
1659.00295101649,74698
1661.95205263328,72533
1664.89684863594,71373
1667.83733902446,69438
1670.77352379886,67791
1673.70540295912,66139
1676.63297650524,63060
1679.55624443724,59286
1682.4752067551,55769
1686.36045889027,49823
1689.26937477516,44855
1692.17398504592,39871
1695.07428970255,34542
1697.97028874504,30022
1700.8619821734,25234
