***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,49.51,,,,,,System Temp (C):,27.52,,,,,,,
Humidity (%):,14.23,,,,,,Humidity (%):,73.2,,,,,,,
Lamp Intensity:,2671,,,,,,Lamp Intensity:,2274,,,,,,,
Data Date-Time:,27/10/20 @ 15:0:53,,,,,,Data Date-Time:,9/7/19 @ 16:39:9,,,,,,,
Total Measurement Time in sec:,1.7951813,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-6.85384978732833,0.0551332794684546,-0.000110731550088635,,,,,
Serial Number:,925R021,(95UB122GC1A925R021),,,,,Pixel to Wavelength Coefficients:,1790.66412099084,-0.917492857141292,-0.000239200785115314,,,,,
GUI Version:,2.4.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.1.0.67,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(HH:MM:SS):,NA,,,,,,
UUID:,DE:67:0C:88:67:19:47:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.630473432251,0.803006602659982,102131,16075
905.531115772228,0.807181629958792,110950,17296
909.427452498074,0.812602759011428,119508,18399
913.319483609787,0.815081953004163,129795,19869
917.207209107368,0.817363476204091,143166,21801
921.090628990817,0.826043351301242,160172,23908
924.969743260134,0.832940984146711,180815,26564
930.13519799724,0.838641814630077,210522,30525
934.004265833582,0.825411553240933,231687,34633
937.869028055792,0.818824286626775,249996,37941
941.72948466387,0.80748210224138,265685,41389
945.585635657816,0.803289309303311,279147,43908
949.43748103763,0.799174752688616,291226,46244
953.285020803312,0.790408000488551,302792,49061
957.128254954862,0.786975438131421,314069,51292
960.967183492279,0.784354976800934,325247,53439
966.07905725352,0.778092490302469,339962,56668
969.907939357962,0.776610963078551,350977,58704
973.732515848273,0.777053414913929,361509,60404
977.552786724452,0.775624893252611,371608,62296
981.368751986498,0.775721887155628,380605,63790
985.180411634413,0.77027775836625,389074,66032
988.987765668195,0.771359606766869,396542,67132
992.790814087846,0.771527529931344,402965,68193
996.589556893364,0.768504659514035,408092,69543
1001.64784967874,0.767489982646948,414610,70819
1005.43654605128,0.769656030633803,417748,71000
1009.22093680969,0.767953493853304,419882,71643
1013.00102195397,0.766316648436606,421613,72210
1016.77680148412,0.764880299700715,422828,72658
1020.54827540013,0.764788688275785,423181,72734
1024.31544370202,0.763012385398758,422798,72966
1028.07830638977,0.76305016346802,422122,72843
1031.83686346339,0.76212591082663,421427,72878
1036.8415752729,0.764501155146072,420017,72238
1040.59008591354,0.760741005586201,418356,72578
1044.33429094005,0.760130816745095,416485,72355
1048.07419035243,0.759648241815801,415390,72245
1051.80978415068,0.759029397655827,414299,72158
1055.5410723348,0.759471847890469,413158,71886
1059.26805490478,0.759461384898861,412194,71720
1062.99073186063,0.759524662990043,411685,71621
1066.70910320235,0.761535307543844,411349,71232
1071.66023403599,0.760572409437392,411406,71400
1075.36855894474,0.761804707625262,412471,71382
1079.07257823935,0.760945410988812,413974,71784
1082.77229191983,0.76110641958807,415714,72059
1086.46769998618,0.762011969242681,417657,72245
1090.1588024384,0.76000047703948,419594,72917
1093.84559927648,0.762490310332719,422591,73018
1097.52809050043,0.762628386860707,425209,73447
1101.20627611025,0.762231547404986,428025,74001
1106.10382596803,0.764941840058238,432567,74321
1109.77196514487,0.76446322299959,436480,75076
1113.43579870759,0.764266917895279,440246,75758
1117.09532665617,0.763980156231952,443887,76435
1120.75054899062,0.764630862337356,447164,76884
1124.40146571093,0.76591470627374,450722,77267
1128.04807681712,0.765510796698181,454231,77941
1131.69038230917,0.767876523997917,457509,78077
1135.32838218709,0.767305116333224,460998,78776
1140.172351069,0.766923421941429,466130,79723
1143.80030451395,0.76510962428666,469905,80705
1147.42395234476,0.76834746151185,473615,80738
1151.04329456145,0.766533931566643,477816,81795
1154.658331164,0.767040285153384,482210,82451
1158.26906215241,0.769133906546864,486791,82834
1161.8754875267,0.766994909314534,491522,84052
