***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,48.29,,,,,,System Temp (C):,34.7,,,,,,,
Humidity (%):,29.91,,,,,,Humidity (%):,35.27,,,,,,,
Lamp Intensity:,1920,,,,,,Lamp Intensity:,1767,,,,,,,
Data Date-Time:,20/10/27T13:12:22,,,,,,Data Date-Time:,20/5/13T16:0:36,,,,,,,
Total Measurement Time in sec:,2.0879019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-7.40266672958336,0.0577935962102471,-0.000112288131265282,,,,,
Serial Number:,947R033,(95UB122GC0A947R033),,,,,Pixel to Wavelength Coefficients:,1779.07784909224,-0.923938295271985,-0.000239032023878199,,,,,
GUI Version:,3.6.4,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.4,,,,,,***Lamp Usage * **,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(HH:MM:SS):,19min 43sec ,,,,,,
UUID:,DE:67:0C:88:67:4B:68:21,,,,,,***Device/Error Status***,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,
,,,,,,,,,,,,,,,
***Scan Data***,,,,,,,,,,,,,,
Wavelength (nm),Sample Signal (unitless)
901.938585242429,13379
905.839109344998,14576
909.735330871137,15584
913.627249820846,17365
917.514866194126,18588
921.398179990975,20711
925.277191211395,23170
929.151899855385,26598
933.022305922945,29867
938.17615444969,33828
942.036521172247,36125
945.892585318375,38276
949.744346888073,40748
953.59180588134,43027
957.434962298178,44909
961.273816138587,46527
965.108367402565,47944
968.938616090114,50134
974.03892144351,52899
977.859130786056,54558
981.675037552172,56440
985.486641741858,58582
989.293943355114,60667
993.096942391941,62398
996.895638852337,63013
1000.6900327363,64536
1004.48012404384,65517
1009.52688622389,67114
1013.30693818642,67464
1017.08268757253,68667
1020.8541343822,69668
1024.62127861545,69762
1028.38412027226,70031
1032.14265935265,70428
1035.8968958566,70225
1039.64682978413,70165
1044.64004879083,70188
1048.37994337335,70411
1052.11553537944,70004
1055.84682480911,69957
1059.57381166234,70019
1063.29649593914,69608
1067.01487763952,69221
1070.72895676346,69644
1074.43873331097,69352
1079.37840914432,69735
1083.07814634683,69167
1086.77358097292,69803
1090.46471302257,69302
1094.15154249579,69379
1097.83406939258,69900
1101.51229371294,70509
1105.18621545688,71183
1108.85583462438,71103
1113.74196728438,71939
1117.40154710688,72442
1121.05682435295,72689
1124.70779902259,73038
1128.3544711158,73899
1131.99684063258,74380
1135.63490757293,75275
1139.26867193685,75942
1142.89813372434,76636
1147.73072321099,77275
1151.35014565348,78244
1154.96526551954,78295
1158.57608280917,78627
1162.18259752237,79740
1165.78480965914,80346
1169.38271921947,81215
1172.97632620338,80938
1176.56563061086,81908
1181.34467692417,82909
1184.92394198664,83949
1188.49890447269,84840
1192.06956438231,85798
1195.63592171549,86706
1199.19797647225,88311
1202.75572865258,89131
1206.30917825648,90600
1209.85832528395,91908
1214.5838284239,93521
1218.12293610637,94328
1221.6577412124,95278
1225.18824374201,96777
1228.71444369518,97877
1232.23634107193,99146
1235.75393587224,99884
1239.26722809613,100910
1242.77621774359,102257
1247.44817771019,103803
1250.94712801265,104975
1254.44177573867,106309
1257.93212088826,107459
1261.41816346143,108304
1264.89990345816,109483
1268.37734087847,110531
1271.85047572234,111756
1275.31930798978,112507
1279.93772478304,113244
1283.39651770548,113994
1286.8510080515,115292
1290.30119582108,115096
1293.74708101423,116353
1297.18866363095,116611
1300.62594367125,117205
1304.05892113511,117607
1307.48759602254,118434
1312.05246964245,118983
1315.47110518488,118723
1318.88543815088,119820
1322.29546854045,119803
1325.70119635359,119986
1329.10262159031,120043
1332.49974425059,120230
1335.89256433444,120643
1339.28108184186,120275
1343.79241228842,120250
1347.17089045084,120037
1350.54506603683,119874
1353.91493904639,119294
1357.28050947952,119051
1360.64177733622,119024
1363.99874261649,119161
1367.35140532033,119293
1370.69976544774,118998
1375.15755272095,118386
1378.49587350336,117453
1381.82989170933,116464
1385.15960733888,116173
1388.485020392,115648
